model,file,si_sdr_clean_vs_enh,lsd_clean_vs_enh,dur_s
ulunas,p237_181_mic2-9c78a873a373-cd1fa3aaced7.wav,30.4482,7.2567,3.913
ulunas,p237_201_mic2-c2f27d9e42d5-a69940ca1d55.wav,25.4316,6.5139,4.428
ulunas,p237_225_mic2-9c8096d8ddbd-d0c3a462fa01.wav,25.7403,6.6486,4.752
ulunas,p237_256_mic2-963e152df7e4-0459ef5a378c.wav,32.2055,5.9107,3.316
ulunas,p237_311_mic2-a6c827eb23cd-27a13f3ac007.wav,29.2787,6.0275,4.184
ulunas,p238_003_mic2-16cfda1856c9-e30ff89a971b.wav,27.3076,4.1161,8.322
ulunas,p238_004_mic2-6b3aaa603557-926868cecfc2.wav,22.2425,6.2686,6.421
ulunas,p238_008_mic2-6cd1a38af039-7c1ebffbb8e2.wav,25.955,4.8305,9.558
ulunas,p238_009_mic2-cde9c39f4f79-88acb222465a.wav,30.5659,5.0301,6.146
ulunas,p238_033_mic2-12dd60139d64-b7583892cff4.wav,29.7239,5.5033,4.439
ulunas,p238_085_mic1-7cb33a36807b-1f0b64d0aa61.wav,25.3795,4.8605,3.152
ulunas,p238_108_mic2-5c7d8b830fd3-e8a1e2dcf7f6.wav,20.8838,5.9662,3.458
ulunas,p238_123_mic2-ab07fca59845-bbc7e4e4db0c.wav,21.2087,5.0851,3.803
ulunas,p238_132_mic2-d2f2050a09c0-8062febf2629.wav,33.6551,5.3748,3.119
ulunas,p238_140_mic2-9250edb3e273-13d75e0099f3.wav,31.5126,4.8575,4.313
ulunas,p238_213_mic2-6e9cb09c0c0b-17f00a25d936.wav,28.4764,5.6401,3.503
ulunas,p238_228_mic2-b7aea1a6b2a1-aae2118da6a7.wav,24.0265,5.5545,5.421
ulunas,p238_248_mic2-9324dd47990d-562c10106712.wav,24.0166,4.4481,3.332
ulunas,p238_256_mic2-4921a54c5753-3f7d2b6e995e.wav,27.9661,5.1572,3.459
ulunas,p238_260_mic2-7b532efcc89b-afd1eaa2c262.wav,31.628,6.0776,3.97
ulunas,p238_263_mic1-6ca272d2d389-c0fa64164832.wav,26.0201,4.3025,4.141
ulunas,p238_320_mic2-4a2dc9067e49-d019c84af95d.wav,30.1616,5.1309,4.61
ulunas,p238_340_mic2-fa9cd0bf4ac8-0a5805ffd030.wav,25.6056,4.4314,4.015
ulunas,p238_342_mic2-53e7799f48dc-9bea8a3f6149.wav,32.2971,5.3919,4.315
ulunas,p238_343_mic2-dcf49afe2f4e-7760f0e8792e.wav,25.1024,4.2745,5.913
ulunas,p238_370_mic2-2a47ec94d7e7-5ec6dd5a8e9c.wav,26.8002,4.2455,3.8
ulunas,p238_377_mic1-54f7103936b3-89592a1ea4af.wav,25.347,5.3097,3.418
ulunas,p238_389_mic2-0a3b2fcbdcd4-6fc410d41afc.wav,16.6174,4.8402,3.588
ulunas,p238_394_mic2-4a741420f1b8-2366c730a56a.wav,30.138,5.5515,3.502
ulunas,p238_395_mic2-2539cbed71b0-447c08069b49.wav,26.7537,4.5908,4.525
ulunas,p238_429_mic2-559088dd88ad-e89f459c0b8b.wav,25.7109,6.2182,3.205
ulunas,p238_442_mic2-b921f6580985-2bacd4bc32a8.wav,26.5211,5.9225,4.27
ulunas,p238_444_mic2-f8e3985d96a0-69d9b064085e.wav,29.4112,4.7201,3.286
ulunas,p238_445_mic2-5df1779db28f-9d88a846a253.wav,23.5202,4.7158,5.464
ulunas,p238_446_mic2-626ff980cd35-a3d111b14f4c.wav,33.8761,4.9905,3.672
